#channel number    	reff(cm)	roh(reff/a) 
       1.0000000        64.572998        1.3488340 
       2.0000000        62.346298        1.3023215 
       3.0000000        61.233002        1.2790664 
       4.0000000        59.006302        1.2325540 
       5.0000000        56.779701        1.1860436 
       6.0000000        53.439701        1.1162759 
       7.0000000        47.873199       0.99999999 
       8.0000000        42.306499       0.88371990 
       9.0000000        36.739899       0.76744188 
       10.000000        31.173201       0.65116183 
       11.000000        25.606600       0.53488381 
       12.000000        21.153299       0.44186099 
       13.000000        15.586600       0.32558092 
       14.000000        10.020000       0.20930292 
       15.000000        5.5666499       0.11627904 
       16.000000        1.1133300      0.023255809 
       17.000000        -1.1133300      -0.023255809 
       18.000000        -5.5666499       -0.11627904 
       19.000000        -10.020000       -0.20930292 
       20.000000        -15.586600       -0.32558092 
       21.000000        -21.153299       -0.44186099 
       22.000000        -26.719900       -0.55813900 
       23.000000        -31.173201       -0.65116183 
       24.000000        -36.739899       -0.76744188 
       25.000000        -43.419899       -0.90697716 
       26.000000        -48.986401        -1.0232531 
       27.000000        -54.553001        1.1395311 
       28.000000        -57.893002        1.2092988 
       29.000000        -60.119701        1.2558112 
       30.000000        -61.233002        1.2790664 
       31.000000        -63.459599        1.3255767 
       32.000000        -64.572998        1.3488340 
