 #channel number    	reff(cm)	roh(reff/a)       
       1.0000000        10.020000       0.20930292 
       2.0000000        5.5666499       0.11627904 
       3.0000000        2.2266600      0.046511618 
       4.0000000        1.1133300      0.023255809 
       5.0000000        -2.2266600      -0.046511618 
       6.0000000        -5.5666499       -0.11627904 
       7.0000000        -8.9066401       -0.18604647 
       8.0000000        -12.246600       -0.25581328 
       9.0000000        -15.586600       -0.32558092 
       10.000000        -18.926600       -0.39534854 
       11.000000        -21.153299       -0.44186099 
       12.000000        -24.493299       -0.51162862 
       13.000000        -28.946600       -0.60465145 
       14.000000        -32.286598       -0.67441905 
       15.000000        -35.626598       -0.74418669 
       16.000000        -38.966499       -0.81395226 
       17.000000        -42.306499       -0.88371990 
       18.000000        -45.646500       -0.95348754 
       19.000000        -48.986401        -1.0232531 
       20.000000        -52.326401        -1.0930207 
       21.000000        -54.553001        -1.1395311 
       22.000000        -57.893002        -1.2092988 
       23.000000        -60.119701        -1.2558112 
       24.000000        -63.459599        -1.3255767 
