#channel number    	reff(cm)	roh(reff/a) 
       1.0000000        54.513000        1.0500009 
       2.0000000        48.023300       0.92499967 
       3.0000000        42.831600       0.82499986 
       4.0000000        37.639900       0.72500005 
       5.0000000        32.448200       0.62500025 
       6.0000000        28.554399       0.54999989 
       7.0000000        24.660601       0.47499958 
       8.0000000        20.766800       0.39999923 
       9.0000000        16.873100       0.32500082 
       10.000000        12.979300       0.25000047 
       11.000000        9.0854902       0.17499996 
       12.000000        5.1917100       0.10000000 
       13.000000        2.5958500      0.049999904 
       14.000000        1.2979300      0.025000048 
       15.000000        -2.5958500      -0.049999904 
       16.000000        -6.4896402       -0.12500005 
       17.000000        -9.0854902       -0.17499996 
       18.000000        -12.979300       -0.25000047 
       19.000000        -16.873100       -0.32500082 
       20.000000        -20.766800       -0.39999923 
       21.000000        -24.660601       -0.47499958 
       22.000000        -27.256500       -0.52500044 
       23.000000        -31.150299       -0.60000075 
       24.000000        -35.043999       -0.67499916 
