# kappa [A^2]        roh [Ohm]        tau [s]
0.00075135    979.87409775    0.12000296
0.00074248    1002.73757575    0.11831839
0.00072906    1020.09538125    0.12274391
0.00071305    1032.18567750    0.12208956
0.00075006    1000.06593750    0.20295254
0.00073279    1008.99999900    0.12198560
0.00070987    1028.82215750    0.12208121
0.00071890    1039.48906250    0.12311255
0.00072889    993.70625350    0.11619265
0.00076495    996.63867175    0.11630305
0.00066346    995.77094650    0.11248909
0.00072683    993.81500875    0.11458969
0.00074942    963.96473950    0.11725679
0.00074181    955.98320000    0.11515153
0.00077155    950.15776375    0.11314701
0.00074678    944.28142750    0.11678217
0.00075047    1022.72105350    0.12040273
0.00073949    1026.70043500    0.12014001
0.00073152    1026.11526250    0.12108958
0.00073625    1019.41421925    0.11961340
0.00047266    1416.73724500    0.12823216
0.00070907    1023.87559275    0.11676396
0.00069463    1019.54876400    0.11694538
0.00070906    1014.29411100    0.12256860
0.00070746    1028.92519250    0.12303233
0.00068991    1026.61670000    0.12045088
0.00071746    1019.72013150    0.12239725
0.00070956    1024.99065250    0.12155343
0.00075655    927.25992675    0.12137308
0.00073515    933.94420975    0.12002130
0.00074180    943.73702400    0.11995627
0.00071017    955.38200750    0.12030640
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00077965    1076.00761000    0.11395980
0.00074470    1242.76953750    0.11062069
0.00078053    1117.32494000    0.11160277
0.00076887    1141.51659750    0.11201652
0.00078328    1003.80607825    0.11072748
0.00075166    1183.48834750    0.11729349
0.00077488    943.10100000    0.11530502
0.00077789    1083.77155500    0.11399627
0.00077028    1007.33560400    0.11167169
0.00073224    1133.69465500    0.11794489
0.00074613    1114.10031750    0.11293672
0.00075043    1060.43776250    0.11167006
0.00080646    1029.17557000    0.11437256
0.00078385    957.72492975    0.11379639
0.00074568    993.97166025    0.11018177
0.00079425    972.20240400    0.11525389
0.00074012    1000.45257850    0.11078716
0.00076882    963.15970025    0.10913707
0.00075097    999.13943575    0.11162688
0.00077204    992.42589500    0.11112292
0.00075677    1015.28771625    0.11065369
0.00076483    1005.82695125    0.11027236
0.00077953    1001.84458750    0.10993736
0.00078649    1003.35729850    0.10798921
0.00079988    993.74484250    0.10992853
0.00080491    973.46954350    0.10943344
0.00083975    947.46510250    0.11009238
0.00076881    990.32028500    0.11048380
0.00079149    986.18583025    0.10917454
0.00080279    969.90830875    0.10977482
0.00081219    958.34197100    0.11447869
0.00081675    948.35084400    0.11044807
0.00076536    943.31264400    0.11697007
0.00078020    938.04160500    0.11332674
0.00081409    935.99708250    0.11159830
0.00074231    1012.73623325    0.11231960
0.00077311    988.25046500    0.11122712
0.00076990    991.80034750    0.11054077
0.00075770    996.94026875    0.11163869
0.00079129    1347.98319000    0.13000923
0.00067165    966.92322650    0.10853743
0.00066760    959.71280000    0.10995668
0.00078808    945.17890250    0.11320663
0.00074890    958.27671800    0.11545362
0.00072394    886.07284100    0.11046621
0.00071794    882.80725325    0.11109747
0.00071906    874.12098625    0.11192517
0.00071556    865.44139250    0.11345247
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
0.00000000    0.00000000    0.00000000
