#channel number    	reff(cm)	roh(reff/a)  
       1.0000000        50.099701        1.0465083 
       2.0000000        44.533199       0.93023235 
       3.0000000        38.966499       0.81395226 
       4.0000000        34.513199       0.72092943 
       5.0000000        30.059900       0.62790664 
       6.0000000        25.606600       0.53488381 
       7.0000000        22.266600       0.46511617 
       8.0000000        17.813299       0.37209335 
       9.0000000        14.473300       0.30232573 
       10.000000        11.133300       0.23255809 
       11.000000        7.7933102       0.16279067 
       12.000000        4.4533200      0.093023237 
       13.000000        1.1133300      0.023255809 
       14.000000        -1.1133300      -0.023255809 
       15.000000        -3.3399899      -0.069767425 
       16.000000        -6.6799798       -0.13953485 
       17.000000        -10.020000       -0.20930292 
       18.000000        -13.360000       -0.27907054 
       19.000000        -16.699900       -0.34883609 
       20.000000        -20.039900       -0.41860372 
       21.000000        -23.379900       -0.48837136 
       22.000000        -26.719900       -0.55813900 
       23.000000        -30.059900       -0.62790664 
       24.000000        -33.399899       -0.69767424 
