# kbolo                 volume in cm^3 VVCL -> left camera
    0.0023638626        4488.8776 
    0.0024952682        4689.2704 
    0.0026297998        4918.9757 
    0.0027262730        5088.5037 
    0.0028715821        5324.0690 
    0.0029964398        5533.7673 
    0.0030923375        5709.4082 
    0.0031455155        5812.9528 
    0.0034777467        6391.2971 
    0.0035702018        6569.0623 
    0.0036320888        6694.3680 
    0.0036313397        6678.7919 
    0.0036427808        6655.4659 
    0.0036729322        6632.3263 
    0.0036304341        6430.3806 
    0.0035045865        5997.3192 
    0.0033682441        5459.5321 
    0.0032228357        4847.8041 
    0.0030132391        4153.6190 
    0.0027401093        3397.1935 
    0.0025179876        2828.4342 
    0.0023218442        2351.2865 
    0.0020754676        1854.7315 
    0.0018459968        1484.3448 
