#channel number    	reff(cm)	roh(reff/a) 
       1.0000000        66.194298        1.2749999 
       2.0000000        63.598400        1.2249991 
       3.0000000        61.002602        1.1750002 
       4.0000000        57.108799        1.0999998 
       5.0000000        53.215000        1.0249995 
       6.0000000        49.321201       0.94999916 
       7.0000000        44.129501       0.84999935 
       8.0000000        38.937801       0.74999954 
       9.0000000        33.746101       0.64999974 
       10.000000        28.554399       0.54999989 
       11.000000        24.660601       0.47499958 
       12.000000        19.468901       0.37499977 
       13.000000        14.277200       0.27499995 
       14.000000        9.0854902       0.17499996 
       15.000000        5.1917100       0.10000000 
       16.000000        1.2979300      0.025000048 
       17.000000        -1.2979300      -0.025000048 
       18.000000        -5.1917100       -0.10000000 
       19.000000        -10.383400       -0.19999961 
       20.000000        -14.277200       -0.27499995 
       21.000000        -19.468901       -0.37499977 
       22.000000        -24.660601       -0.47499958 
       23.000000        -29.852301       -0.57499939 
       24.000000        -35.043999       -0.67499916 
       25.000000        -40.235699       -0.77499896 
       26.000000        -45.427502       -0.87500075 
       27.000000        -49.321201       -0.94999916 
       28.000000        -53.215000        -1.0249995 
       29.000000        -58.406700        -1.1249993 
       30.000000        -61.002602        -1.1750002 
       31.000000        -64.896400        -1.2500005 
       32.000000        -67.492203        -1.2999995 
