nr_core  nr_sol  npol  
      11       4     101
raxis  zaxis  
       520.26684    0.0011052123
       4.7209560
       526.31220    0.0011124904
       526.27279      0.37897380
       526.17368      0.74730903
       526.01463       1.0975632
       525.80326       1.4226102
       525.55910       1.7206710
       525.28798       1.9891143
       524.99846       2.2276265
       524.70286       2.4398209
       524.40555       2.6276017
       524.10717       2.7912531
       523.81168       2.9336339
       523.52393       3.0597063
       523.24402       3.1714695
       522.97018       3.2688687
       522.70171       3.3523901
       522.43933       3.4243637
       522.18354       3.4875413
       521.93377       3.5434885
       521.68863       3.5921040
       521.44695       3.6330825
       521.20797       3.6665177
       520.97114       3.6931875
       520.73588       3.7139586
       520.50141       3.7295457
       520.26683       3.7400551
       520.03129       3.7448491
       519.79408       3.7432817
       519.55456       3.7349322
       519.31208       3.7195870
       519.06578       3.6975334
       518.81473       3.6686596
       518.55817       3.6321589
       518.29594       3.5861135
       518.02852       3.5281126
       517.75589       3.4570998
       517.47722       3.3731636
       517.19115       3.2763643
       516.89988       3.1628871
       516.60758       3.0282936
       516.31626       2.8713654
       516.02502       2.6930437
       515.73762       2.4910577
       515.46404       2.2611109
       515.20856       2.0038307
       514.97314       1.7211110
       514.77010       1.4123955
       514.60614       1.0809755
       514.47913      0.73221432
       514.40245      0.37005195
       514.37984    0.0011429994
       514.40179     -0.36794735
       514.47905     -0.73003362
       514.60492      -1.0789341
       514.76890      -1.4105556
       514.97229      -1.7191564
       515.20695      -2.0022105
       515.46249      -2.2596499
       515.73614      -2.4896344
       516.02339      -2.6918176
       516.31457      -2.8703667
       516.60602      -3.0273529
       516.89829      -3.1621305
       517.18963      -3.2757218
       517.47576      -3.3726851
       517.75464      -3.4565827
       518.02736      -3.5276815
       518.29491      -3.5857672
       518.55718      -3.6320132
       518.81389      -3.6685506
       519.06512      -3.6973584
       519.31155      -3.7194142
       519.55418      -3.7347503
       519.79380      -3.7432595
       520.03116      -3.7447881
       520.26684      -3.7400130
       520.50155      -3.7295324
       520.73615      -3.7138419
       520.97155      -3.6931243
       521.20851      -3.6664517
       521.44762      -3.6329586
       521.68942      -3.5919178
       521.93469      -3.5432472
       522.18457      -3.4872387
       522.44051      -3.4240498
       522.70297      -3.3519401
       522.97154      -3.2683097
       523.24554      -3.1708701
       523.52541      -3.0588921
       523.81340      -2.9328571
       524.10896      -2.7903439
       524.40740      -2.6265417
       524.70460      -2.4385542
       525.00021      -2.2262433
       525.28988      -1.9876027
       525.56032      -1.7188208
       525.80485      -1.4208303
       526.01579      -1.0954672
       526.17371     -0.74515333
       526.27428     -0.37679287
       526.31220    0.0011124904
       9.4419121
       532.50431    0.0013287622
       532.41797      0.76554358
       532.19445       1.5079167
       531.82984       2.2068633
       531.35744       2.8486888
       530.83170       3.4338406
       530.25218       3.9545770
       529.64238       4.4128729
       529.03800       4.8230990
       528.43244       5.1831342
       527.83496       5.4996795
       527.24507       5.7739540
       526.67750       6.0211098
       526.12754       6.2421256
       525.58906       6.4344424
       525.06527       6.6056130
       524.55249       6.7540339
       524.05125       6.8848559
       523.56306       7.0059440
       523.08290       7.1135290
       522.60753       7.2049526
       522.13673       7.2838424
       521.66886       7.3506903
       521.20199       7.4034791
       520.73525       7.4465752
       520.26681       7.4839103
       519.79443       7.5098580
       519.31688       7.5205884
       518.83257       7.5196107
       518.34056       7.5034314
       517.84049       7.4685670
       517.32876       7.4217474
       516.80326       7.3615400
       516.26680       7.2770993
       515.71834       7.1683406
       515.15972       7.0304594
       514.59202       6.8607023
       514.00733       6.6668183
       513.42052       6.4302062
       512.83242       6.1513970
       512.25624       5.8211697
       511.67879       5.4512041
       511.12545       5.0266601
       510.60533       4.5474244
       510.12996       4.0146050
       509.69461       3.4361998
       509.32426       2.8106183
       509.03652       2.1434562
       508.81212       1.4481197
       508.67500      0.73035563
       508.63978    0.0011719882
       508.67907     -0.72799014
       508.80863      -1.4464261
       509.03493      -2.1414011
       509.32673      -2.8078772
       509.69029      -3.4354220
       510.12874      -4.0126960
       510.60568      -4.5451374
       511.12172      -5.0263705
       511.67972      -5.4483127
       512.25264      -5.8214933
       512.83209      -6.1493466
       513.41785      -6.4304409
       514.00674      -6.6650847
       514.59004      -6.8607862
       515.15881      -7.0295026
       515.71688      -7.1682455
       516.26585      -7.2766003
       516.80248      -7.3608416
       517.32784      -7.4218083
       517.83977      -7.4685965
       518.34005      -7.5031116
       518.83213      -7.5196096
       519.31663      -7.5205571
       519.79429      -7.5096537
       520.26682      -7.4842842
       520.73541      -7.4466470
       521.20222      -7.4031852
       521.66930      -7.3509261
       522.13723      -7.2835902
       522.60819      -7.2048398
       523.08380      -7.1137263
       523.56388      -7.0054650
       524.05218      -6.8844065
       524.55372      -6.7539443
       525.06642      -6.6049400
       525.59025      -6.4338123
       526.12935      -6.2417604
       526.67857      -6.0199362
       527.24719      -5.7734678
       527.83585      -5.4980356
       528.43510      -5.1825742
       529.03819      -4.8209091
       529.64593      -4.4122930
       530.25182      -3.9521353
       530.83364      -3.4320744
       531.36142      -2.8475249
       531.82890      -2.2041628
       532.18868      -1.5051306
       532.42377     -0.76332811
       532.50431    0.0013287622
       14.162868
       538.85442    0.0013826911
       538.71127       1.1614649
       538.31014       2.2805064
       537.69730       3.3261545
       536.92558       4.2783192
       536.06089       5.1329105
       535.14045       5.8899465
       534.20044       6.5577353
       533.26521       7.1469971
       532.34230       7.6643255
       531.44814       8.1248000
       530.57619       8.5295655
       529.73436       8.8916343
       528.92057       9.2162529
       528.12933       9.5051386
       527.35957       9.7632548
       526.60965       9.9956843
       525.87657       10.205022
       525.15739       10.393925
       524.44924       10.564616
       523.74858       10.716687
       523.05287       10.852017
       522.35968       10.972084
       521.66583       11.075331
       520.96909       11.163310
       520.26682       11.235928
       519.55639       11.292643
       518.83544       11.331623
       518.10163       11.351394
       517.35251       11.351594
       516.58678       11.327132
       515.80282       11.275894
       514.99988       11.193962
       514.17701       11.078449
       513.33288       10.927274
       512.47462       10.726178
       511.59937       10.478237
       510.71612       10.171588
       509.82680       9.8049144
       508.94789       9.3649357
       508.08478       8.8518603
       507.24677       8.2638283
       506.45173       7.5959898
       505.71287       6.8496466
       505.04280       6.0286734
       504.45409       5.1389421
       503.95660       4.1888139
       503.56144       3.1878076
       503.27233       2.1479774
       503.09492       1.0814437
       503.03566    0.0011044065
       503.09347      -1.0793591
       503.26958      -2.1461428
       503.56063      -3.1857380
       503.95576      -4.1868483
       504.45139      -5.1375796
